id,name
cacamba_entulho,caçambas de entulho
tinta-latex-branca,tinta latex branca
piso_laminado,piso laminado
ponto_eletrica,ponto de eletrica
tinta_esmalte,tinta esmalte
solvente,solvente
lixa_massa,lixa massa
porcelanato_polido,porcelanato polido
argamassa_base_cimento,argamassa base cimento
rejunte,rejunte
ceramic-tiles,Ceramic and Tiles
bacia_sanitaria,bacia sanitaria
tubo_agua_fria,tubo agua fria
tubulacao_esgoto,tubulação de  esgoto
engate_flexivel_agua,engate flexivel agua
registro_agua,registro de água
cuba_lavatorio,cuba de lavatório
torneira_banheiro,torneira banheiro
tampo_lavatorio,tampo lavatório
sifao_lavatorio,sifão de lavatório
tubo_agua_quente,tubo agua quente
manta_impermeabilizacao,manta impermeabilização
porta_madeira,porta madeira
fechadura,fechadura porta
dobradica_porta,dobradiça de porta
forro_gesso,forro de gesso
cabo_eletrico,cabo eletrico
piso_ceramico_interno,piso ceramico interno
tampo_granito_cozinha,tampo granito cozinha
cuba_cozinhacu,cuba cozinha
torneira_quente_fria_cozinha,torneira cozinha
porcelnato_rustico,porcelanato rustico
rodape_poliestireno,rodape poliestireno
