id,name
demolicao_piso_ceramico,demolição de piso ceramico
demolicao_parede_alvenaria,demolicação parede alvenaria
pintura-parede,pintura de parede
pintura_teto_branco,pintura teto branco
piso_laminado,piso laminado ou capete de madeira
limpeza_obra,limpeza da obra
trocar_tomada,trocar tomada existente
pintura_porta_branca,pintura porta branca
demolicao_revestimento_ceramico,demolição revestimento ceramico parede
retirada_loucas_metais,retirada de aparelhos sanitarios
porcelanato-polido,porcelanato polido
revestimento_ceramico_parede,revestimento ceramico na parede
bacia_sanitaria_cx_acoplada,bacia sanitaria caixa acoplada
lavatorio_banheiro_fria_quente,lavatorio banheiro
manta_asfaltica,manta impermeabilização asfaltica
porta_madeira_interna_completa,porta madeira completa
registro_agua_pressao,registro agua pressão
forro_gesso,forro de gesso
ponto_luz_forro,ponto de luz no forro
trocar_cabo_tomada_10a,trocar condutor tomada
piso_ceramico_interno,piso ceramico interno
tampo_cuba_torneira_cozinha,tampo cuba torneira da cozinha
piso_porcelanato_regua,piso porcelanato regua madeira
rodape_poliestireno,rodape poliestireno
