id,tipo,ambiente,area_m2,configuracao,acabamento,descricao,origem
1,Apto,Banheiro,3.0,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
2,Apto,Banheiro,3.0,2Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
3,Apto,Banheiro,4.0,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",base
4,Apto,Banheiro,4.0,2Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
5,Apto,Banheiro,6.0,1Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
6,Apto,Banheiro,6.0,2Q+1B,Popular,"Reforma básica de banheiro: demolição de revestimentos antigos, impermeabilização do piso e box, contrapiso novo, revestimento cerâmico padrão, rejunte, louças/metais econômicos e pintura de teto",expandido
7,Apto,Banheiro,4.0,1Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
8,Apto,Banheiro,4.0,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
9,Apto,Banheiro,5.0,1Q+1B,Popular,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
10,Apto,Banheiro,5.0,2Q+1B,Popular,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
11,Apto,Banheiro,5.0,1Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
12,Apto,Banheiro,5.0,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",base
13,Apto,Banheiro,7.0,1Q+1B,Popular,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
14,Apto,Banheiro,7.0,2Q+1B,Popular,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
15,Apto,Banheiro,7.0,1Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
16,Apto,Banheiro,7.0,2Q+1B,Médio,"Reforma completa de banheiro mantendo layout: demolição, impermeabilização com manta, contrapiso com caimento, porcelanato 60x60, box de vidro temperado, louças/metais de linha média e iluminação LED",expandido
17,Apto,Banheiro,8.0,1Q+1B,Médio,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
18,Apto,Banheiro,8.0,2Q+1B,Médio,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
19,Apto,Banheiro,8.0,1Q+1B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
20,Apto,Banheiro,8.0,2Q+1B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
21,Apto,Banheiro,4.0,1Q+1B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
22,Apto,Banheiro,4.0,2Q+1B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
23,Apto,Banheiro,6.0,1Q+1B,Médio,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
24,Apto,Banheiro,6.0,2Q+1B,Médio,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
25,Apto,Banheiro,6.0,1Q+1B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
26,Apto,Banheiro,6.0,2Q+1B,Luxo,"Banheiro premium: demolição total, impermeabilização premium, porcelanato grande formato (90x90 ou 1,20x2,40m), nicho iluminado, metais de design, box até o teto com ferragens especiais e ducha higiênica",expandido
27,Apto,Banheiro social,3,1Q+1B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
28,Apto,Banheiro social,3,2Q+1B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
29,Apto,Banheiro social,3,1Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
30,Apto,Banheiro social,3,2Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
31,Apto,Banheiro social,4.0,1Q+1B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
32,Apto,Banheiro social,4.0,2Q+1B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
33,Apto,Banheiro social,4.0,1Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
34,Apto,Banheiro social,4.0,2Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
35,Apto,Banheiro social,6.0,1Q+1B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
36,Apto,Banheiro social,6.0,2Q+1B,Popular,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
37,Apto,Banheiro social,6.0,1Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
38,Apto,Banheiro social,6.0,2Q+1B,Médio,"Troca de revestimentos apenas do box (área molhada), impermeabilização localizada, novo piso/parede cerâmica, rejunte epóxi anti-mofo e troca de metais mantendo louças existentes",expandido
39,Apto,Lavabo,2.0,1Q+1B,Médio,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
40,Apto,Lavabo,2.0,2Q+1B,Médio,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
41,Apto,Lavabo,2.0,1Q+1B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
42,Apto,Lavabo,2.0,2Q+1B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
43,Apto,Lavabo,3.0,1Q+1B,Médio,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
44,Apto,Lavabo,3.0,2Q+1B,Médio,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
45,Apto,Lavabo,3.0,1Q+1B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
46,Apto,Lavabo,3.0,2Q+1B,Luxo,"Lavabo de impacto: bancada esculpida em pedra natural, cuba de apoio designer, torneira de parede, revestimento decorativo (porcelanato 3D ou cimento queimado), espelho retroiluminado e iluminação cênica",expandido
47,Apto,Quarto,8.0,1Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
48,Apto,Quarto,8.0,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
49,Apto,Quarto,17.0,1Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
50,Apto,Quarto,17.0,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
51,Apto,Quarto,12.0,1Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",expandido
52,Apto,Quarto,12.0,2Q+1B,Popular,"Reforma de quarto: pintura completa (parede e teto), troca de piso por vinílico clicado sobre existente, rodapé novo, tomadas e interruptores novos e ajuste de porta/guarnição",base
53,Apto,Quarto,10.0,1Q+1B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
54,Apto,Quarto,10.0,2Q+1B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
55,Apto,Quarto,10.0,1Q+1B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
56,Apto,Quarto,10.0,2Q+1B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
57,Apto,Quarto,20.0,1Q+1B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
58,Apto,Quarto,20.0,2Q+1B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
59,Apto,Quarto,20.0,1Q+1B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
60,Apto,Quarto,20.0,2Q+1B,Médio,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
61,Apto,Quarto,14.0,1Q+1B,Popular,"Quarto renovado: pintura, piso laminado de qualidade, rodapé alto, cabeceira estofada com iluminação de leitura, tomadas USB, cortineiro embutido em gesso e iluminação setorizada",expandido
