tipo;codigo;nome;unid;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
SERVIÇOS;45333;ABERTURA PARA ENCAIXE DE CUBA OU LAVATORIO EM BANCADA DE MARMORE/ GRANITO OU OUTRO TIPO DE PEDRA NATURAL;UN;302,08;182,31;207,90;195,46;113,72;143,16;124,38;67,52;204,35;236,93;120,65;213,23;142,15;177,69;142,15;186,58;172,72;163,48;177,69;;185,59;;159,92;213,23;114,51;190,09;
MATERIAL;11270;ABRACADEIRA DE LATAO PARA FIXACAO DE CABO PARA-RAIO, DIMENSOES 32 X 24 X 24 MM;UN;;2,58;;3,16;2,60;3,30;;;;;3,12;3,00;2,52;3,12;;3,81;;2,34;3,48;;2,95;;;3,24;;2,88;
MATERIAL;412;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE *230* X *7,6* MM;UN;1,08;0,82;1,02;0,92;1,08;0,87;1,08;1,33;0,77;0,97;1,08;1,49;1,38;1,54;0,97;1,28;1,28;1,08;0,97;1,08;0,97;;1,13;1,02;0,87;1,13;0,97
MATERIAL;414;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 100 X 2,5 MM;UN;0,06;0,05;0,06;0,05;0,06;0,05;0,06;0,08;0,04;0,06;0,06;0,09;0,08;0,09;0,06;0,08;0,08;0,06;0,06;0,06;0,06;;0,07;0,06;0,05;0,07;0,06
MATERIAL;410;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 150 X *3,6* MM;UN;0,16;0,12;0,15;0,14;0,16;0,13;0,16;0,20;0,11;0,15;0,16;0,23;0,21;0,23;0,15;0,19;0,19;0,16;0,15;0,16;0,15;;0,17;0,15;0,13;0,17;0,15
MATERIAL;411;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 200 X *4,6* MM;UN;0,21;0,16;0,20;0,18;0,21;0,17;0,21;0,26;0,15;0,19;0,21;0,29;0,27;0,30;0,19;0,25;0,25;0,21;0,19;0,21;0,19;;0,22;0,20;0,17;0,22;0,19
MATERIAL;408;ABRACADEIRA DE NYLON PARA AMARRACAO DE CABOS, COMPRIMENTO DE 390 X *4,6* MM;UN;1,04;0,79;0,99;0,89;1,04;0,84;1,04;1,29;0,74;0,94;1,04;1,44;1,34;1,48;0,94;1,24;1,24;1,04;0,94;1,04;0,94;;1,09;0,99;0,84;1,09;0,94
MATERIAL;39131;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E CUNHA DE FIXACAO";UN;4,81;3,69;5,97;6,62;3,89;6,40;3,77;4,00;2,63;5,68;3,28;5,73;4,25;4,76;4,42;4,93;5,10;4,59;4,25;4,86;6,12;5,00;5,22;2,14;2,80;3,55;4,62
MATERIAL;394;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/2"" E PARAFUSO DE FIXACAO";UN;4,87;3,73;6,04;6,70;3,94;6,48;3,82;4,05;2,67;5,75;3,32;5,80;4,30;4,82;4,48;4,99;5,17;4,65;4,30;4,92;6,20;5,06;5,29;2,17;2,84;3,60;4,68
MATERIAL;39130;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E CUNHA DE FIXACAO";UN;4,39;3,37;5,45;6,04;3,55;5,84;3,44;3,65;2,40;5,18;2,99;5,23;3,88;4,34;4,03;4,50;4,65;4,19;3,88;4,44;5,59;4,56;4,76;1,95;2,56;3,24;4,22
MATERIAL;395;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1 1/4"" E PARAFUSO DE FIXACAO";UN;4,69;3,60;5,82;6,45;3,80;6,24;3,68;3,90;2,57;5,54;3,20;5,59;4,14;4,64;4,31;4,81;4,97;4,48;4,14;4,74;5,97;4,87;5,09;2,09;2,73;3,46;4,51
MATERIAL;39129;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E CUNHA DE FIXACAO";UN;2,70;2,07;3,36;3,72;2,19;3,59;2,12;2,24;1,48;3,19;1,84;3,22;2,39;2,68;2,48;2,77;2,87;2,58;2,39;2,73;3,44;2,81;2,93;1,20;1,57;2,00;2,60
MATERIAL;393;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1"" E PARAFUSO DE FIXACAO";UN;2,83;2,17;3,51;3,89;2,29;3,76;2,22;2,35;1,55;3,34;1,93;3,37;2,50;2,80;2,60;2,90;3,00;2,70;2,50;2,86;3,60;2,94;3,07;1,26;1,65;2,09;2,72
MATERIAL;39127;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E CUNHA DE FIXACAO";UN;2,31;1,77;2,87;3,18;1,87;3,07;1,81;1,92;1,26;2,73;1,58;2,76;2,04;2,29;2,12;2,37;2,45;2,21;2,04;2,34;2,94;2,40;2,51;1,03;1,35;1,71;2,22
MATERIAL;392;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 1/2"" E PARAFUSO DE FIXACAO";UN;2,37;1,82;2,94;3,26;1,92;3,15;1,86;1,97;1,30;2,80;1,62;2,83;2,10;2,35;2,18;2,43;2,52;2,26;2,10;2,40;3,02;2,47;2,58;1,05;1,38;1,75;2,28
MATERIAL;39133;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E CUNHA DE FIXACAO";UN;6,32;4,84;7,84;8,69;5,11;8,40;4,95;5,25;3,46;7,46;4,31;7,52;5,58;6,25;5,80;6,47;6,70;6,03;5,58;6,38;8,04;6,56;6,85;2,81;3,68;4,66;6,07
MATERIAL;397;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2 1/2"" E PARAFUSO DE FIXACAO";UN;6,98;5,35;8,66;9,60;5,65;9,27;5,47;5,79;3,82;8,24;4,76;8,31;6,17;6,91;6,41;7,15;7,40;6,66;6,17;7,05;8,88;7,25;7,57;3,10;4,07;5,15;6,71
MATERIAL;39132;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E CUNHA DE FIXACAO";UN;5,05;3,87;6,27;6,95;4,09;6,71;3,96;4,19;2,77;5,96;3,44;6,02;4,46;5,00;4,64;5,18;5,36;4,82;4,46;5,11;6,43;5,25;5,48;2,25;2,94;3,73;4,86
MATERIAL;396;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 2"" E PARAFUSO DE FIXACAO";UN;5,41;4,15;6,72;7,44;4,38;7,19;4,25;4,49;2,96;6,39;3,69;6,45;4,78;5,36;4,97;5,55;5,74;5,17;4,78;5,47;6,89;5,62;5,87;2,41;3,15;4,00;5,20
MATERIAL;39135;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3 1/2"" E CUNHA DE FIXACAO";UN;10,11;7,75;12,54;13,90;8,18;13,44;7,93;8,40;5,54;11,93;6,89;12,04;8,93;10,00;9,29;10,36;10,72;9,65;8,93;10,22;12,86;10,50;10,97;4,50;5,89;7,47;9,72
MATERIAL;39134;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E CUNHA DE FIXACAO";UN;8,42;6,46;10,45;11,58;6,82;11,19;6,61;6,99;4,61;9,94;5,74;10,03;7,44;8,34;7,74;8,63;8,93;8,04;7,44;8,51;10,72;8,75;9,14;3,75;4,91;6,22;8,10
MATERIAL;398;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3"" E PARAFUSO DE FIXACAO";UN;7,76;5,95;9,63;10,67;6,28;10,32;6,09;6,45;4,25;9,16;5,29;9,24;6,86;7,68;7,13;7,95;8,23;7,41;6,86;7,84;9,88;8,06;8,42;3,45;4,52;5,73;7,46
MATERIAL;39128;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E CUNHA DE FIXACAO";UN;2,52;1,93;3,13;3,47;2,04;3,35;1,98;2,09;1,38;2,98;1,72;3,01;2,23;2,50;2,32;2,59;2,68;2,41;2,23;2,55;3,21;2,62;2,74;1,12;1,47;1,86;2,43
MATERIAL;400;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/4"" E PARAFUSO DE FIXACAO";UN;2,46;1,89;3,06;3,39;1,99;3,27;1,93;2,04;1,35;2,91;1,68;2,93;2,18;2,44;2,26;2,52;2,61;2,35;2,18;2,49;3,14;2,56;2,67;1,09;1,43;1,82;2,37
MATERIAL;39125;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 3/8"" E PARAFUSO DE FIXACAO";UN;2,52;1,93;3,13;3,47;2,04;3,35;1,98;2,09;1,38;2,98;1,72;3,01;2,23;2,50;2,32;2,59;2,68;2,41;2,23;2,55;3,21;2,62;2,74;1,12;1,47;1,86;2,43
MATERIAL;39126;"ABRACADEIRA EM ACO PARA AMARRACAO DE ELETRODUTOS, TIPO D, COM 4"" E CUNHA DE FIXACAO";UN;11,38;8,72;14,11;15,64;9,20;15,12;8,92;9,45;6,23;13,43;7,76;13,55;10,05;11,25;10,45;11,66;12,06;10,85;10,05;11,50;14,47;11,82;12,34;5,06;6,63;8,40;10,93
